Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,5569.9,0,41:50.5,03:46.2,2.21,00:00.0,0,29,581,9.6,0,---,---,---,---,---,---,---,---,---,---,51.4878021,-0.6530667
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,3617.3,0,33:07.1,01:28.8,5.63,00:00.0,0,39,369,9,0,---,---,---,---,---,---,---,---,---,---,51.4982947,-0.674293
1,3626.3,0,33:08.7,01:28.8,5.63,00:00.0,0,39,370,9,0,---,---,---,---,---,---,---,---,---,---,51.498245,-0.6741912
1,3634.3,0,33:10.1,01:29.3,5.6,00:00.0,0,39.5,371,8,0,---,---,---,---,---,---,---,---,---,---,51.4982004,-0.6741002
1,3643.2,0,33:11.7,01:29.1,5.61,00:00.0,0,38,372,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4981513,-0.673999
1,3652.1,0,33:13.5,01:29.4,5.59,00:00.0,0,39,373,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4981021,-0.6738969
1,3660.2,0,33:14.7,01:29.4,5.59,00:00.0,0,39,374,8,0,---,---,---,---,---,---,---,---,---,---,51.4980586,-0.6738044
1,3669.2,0,33:16.5,01:29.0,5.62,00:00.0,0,38,375,9,0,---,---,---,---,---,---,---,---,---,---,51.4980098,-0.6737001
1,3678.2,0,33:17.9,01:27.3,5.73,00:00.0,0,39,376,9,0,---,---,---,---,---,---,---,---,---,---,51.4979619,-0.6735952
1,3686.4,0,33:19.5,01:27.1,5.74,00:00.0,0,37.5,377,8.2,0,---,---,---,---,---,---,---,---,---,---,51.4979204,-0.6734976
1,3696.2,0,33:21.1,01:26.8,5.76,00:00.0,0,39,378,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4978711,-0.6733807
1,3703.3,0,33:22.5,01:27.7,5.7,00:00.0,0,38,379,7.2,0,---,---,---,---,---,---,---,---,---,---,51.4978357,-0.6732953
1,3713,0,33:24.1,01:28.0,5.68,00:00.0,0,39,380,9.7,0,---,---,---,---,---,---,---,---,---,---,51.4977869,-0.6731796
1,3721,0,33:25.6,01:27.6,5.71,00:00.0,0,37.5,381,8,0,---,---,---,---,---,---,---,---,---,---,51.4977463,-0.6730838
1,3730.8,0,33:27.3,01:28.2,5.67,00:00.0,0,39,382,9.8,0,---,---,---,---,---,---,---,---,---,---,51.4976965,-0.6729674
1,3739.7,0,33:28.9,01:28.8,5.63,00:00.0,0,37.5,383,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4976497,-0.6728637
1,3748.5,0,33:30.5,01:29.1,5.61,00:00.0,0,37.5,384,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4976027,-0.6727605
1,3757.5,0,33:32.1,01:29.4,5.59,00:00.0,0,37.5,385,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4975544,-0.672658
1,3766.3,0,33:33.7,01:30.1,5.55,00:00.0,0,38,386,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4975058,-0.6725563
1,3775.2,0,33:35.3,01:30.3,5.54,00:00.0,0,38.5,387,8.9,0,---,---,---,---,---,---,---,---,---,---,51.4974577,-0.6724542
1,3784,0,33:36.9,01:30.6,5.52,00:00.0,0,37.5,388,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4974094,-0.6723535
1,3792.8,0,33:38.5,01:31.1,5.49,00:00.0,0,37.5,389,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4973603,-0.6722542
1,3801.6,0,33:40.1,01:31.4,5.47,00:00.0,0,37.5,390,8.8,0,---,---,---,---,---,---,---,---,---,---,51.497311,-0.6721546
1,3810.5,0,33:41.7,01:31.7,5.45,00:00.0,0,37.5,391,8.8,0,---,---,---,---,---,---,---,---,---,---,51.4972615,-0.6720549
1,3819.2,0,33:43.5,01:31.7,5.45,00:00.0,0,37.5,392,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4972125,-0.6719566
1,3827.1,0,33:44.7,01:31.6,5.46,00:00.0,0,37.5,393,7.9,0,---,---,---,---,---,---,---,---,---,---,51.4971674,-0.6718682
1,3835.9,0,33:46.5,01:31.4,5.47,00:00.0,0,37.5,394,8.7,0,---,---,---,---,---,---,---,---,---,---,51.4971176,-0.6717706
