Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2860.8,0,11:34.9,02:01.7,4.11,00:00.0,0,31,297,9.6,0,---,---,---,---,---,---,---,---,---,---,52.2317159,0.170906
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Per-Stroke Data:,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
1,535.8,0,01:42.1,01:40.8,4.96,00:00.0,0,38.5,72,8.5,0,---,---,---,---,---,---,---,---,---,---,52.2273324,0.168452
1,543.7,0,01:43.7,01:41.2,4.94,00:00.0,0,37,73,7.9,0,---,---,---,---,---,---,---,---,---,---,52.2272929,0.168356
1,551.4,0,01:45.3,01:41.0,4.95,00:00.0,0,38.5,74,7.7,0,---,---,---,---,---,---,---,---,---,---,52.2272565,0.1682605
1,558.2,0,01:46.7,01:42.2,4.89,00:00.0,0,38.5,75,6.8,0,---,---,---,---,---,---,---,---,---,---,52.227224,0.1681758
1,565.7,0,01:48.3,01:44.2,4.8,00:00.0,0,37.5,76,7.5,0,---,---,---,---,---,---,---,---,---,---,52.2271892,0.1680811
1,573.3,0,01:49.9,01:45.3,4.75,00:00.0,0,38,77,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2271543,0.1679859
1,580.5,0,01:51.5,01:46.8,4.68,00:00.0,0,37,78,7.2,0,---,---,---,---,---,---,---,---,---,---,52.2271234,0.1678924
1,587.8,0,01:53.1,01:48.5,4.61,00:00.0,0,38.5,79,7.2,0,---,---,---,---,---,---,---,---,---,---,52.2270973,0.1677953
1,595,0,01:54.7,01:49.4,4.57,00:00.0,0,39,80,7.3,0,---,---,---,---,---,---,---,---,---,---,52.2270737,0.1676958
1,602.1,0,01:56.3,01:48.9,4.59,00:00.0,0,37,81,7.1,0,---,---,---,---,---,---,---,---,---,---,52.2270506,0.1675986
1,608.7,0,01:57.7,01:49.2,4.58,00:00.0,0,38.5,82,6.5,0,---,---,---,---,---,---,---,---,---,---,52.2270261,0.1675119
1,616,0,01:59.3,01:49.2,4.58,00:00.0,0,38.5,83,7.4,0,---,---,---,---,---,---,---,---,---,---,52.2269945,0.1674168
1,623.5,0,02:00.9,01:48.2,4.62,00:00.0,0,38.5,84,7.5,0,---,---,---,---,---,---,---,---,---,---,52.2269601,0.1673232
1,631,0,02:02.5,01:47.1,4.67,00:00.0,0,37.5,85,7.5,0,---,---,---,---,---,---,---,---,---,---,52.2269213,0.1672335
1,638.6,0,02:04.3,01:46.6,4.69,00:00.0,0,38,86,7.7,0,---,---,---,---,---,---,---,---,---,---,52.2268761,0.1671486
1,646.3,0,02:05.7,01:44.4,4.79,00:00.0,0,37,87,7.6,0,---,---,---,---,---,---,---,---,---,---,52.2268298,0.1670653
1,653.2,0,02:07.3,01:43.1,4.85,00:00.0,0,38.5,88,7,0,---,---,---,---,---,---,---,---,---,---,52.2267837,0.1669965
1,661.9,0,02:08.9,01:41.0,4.95,00:00.0,0,37,89,8.6,0,---,---,---,---,---,---,---,---,---,---,52.2267262,0.1669119
1,668,0,02:10.3,01:40.0,5,00:00.0,0,38.5,90,6.2,0,---,---,---,---,---,---,---,---,---,---,52.2266846,0.1668522
1,676.8,0,02:11.9,01:40.2,4.99,00:00.0,0,38.5,91,8.8,0,---,---,---,---,---,---,---,---,---,---,52.2266212,0.1667754
1,683.6,0,02:13.4,01:39.0,5.05,00:00.0,0,37,92,6.8,0,---,---,---,---,---,---,---,---,---,---,52.2265691,0.166723
1,692.1,0,02:15.1,01:40.6,4.97,00:00.0,0,38.5,93,8.5,0,---,---,---,---,---,---,---,---,---,---,52.226501,0.1666662
1,699.9,0,02:16.7,01:42.9,4.86,00:00.0,0,37,94,7.8,0,---,---,---,---,---,---,---,---,---,---,52.2264371,0.1666206
1,707.3,0,02:18.3,01:43.3,4.84,00:00.0,0,38.5,95,7.5,0,---,---,---,---,---,---,---,---,---,---,52.226374,0.166585
1,714.7,0,02:19.9,01:45.5,4.74,00:00.0,0,37,96,7.4,0,---,---,---,---,---,---,---,---,---,---,52.2263105,0.1665555
1,722,0,02:21.5,01:46.4,4.7,00:00.0,0,37,97,7.3,0,---,---,---,---,---,---,---,---,---,---,52.2262463,0.1665313
1,729.5,0,02:23.1,01:45.5,4.74,00:00.0,0,37,98,7.5,0,---,---,---,---,---,---,---,---,---,---,52.22618,0.1665118
1,737.3,0,02:24.7,01:43.9,4.81,00:00.0,0,38.5,99,7.7,0,---,---,---,---,---,---,---,---,---,---,52.2261108,0.166503
